noisy,clean,text
noisy_trainset_28spk_wav/p269_195.wav,clean_trainset_28spk_wav/p269_195.wav,Neither side would reveal the details of the offer.
noisy_trainset_28spk_wav/p250_004.wav,clean_trainset_28spk_wav/p250_004.wav,We also need a small plastic snake and a big toy frog for the kids.
noisy_trainset_28spk_wav/p270_060.wav,clean_trainset_28spk_wav/p270_060.wav,We have not given up hope.
noisy_trainset_28spk_wav/p236_418.wav,clean_trainset_28spk_wav/p236_418.wav,I think it's a miracle.
noisy_trainset_28spk_wav/p258_391.wav,clean_trainset_28spk_wav/p258_391.wav,"There is a solution, she believes."
noisy_trainset_28spk_wav/p267_239.wav,clean_trainset_28spk_wav/p267_239.wav,Those overseas offices were great.
noisy_trainset_28spk_wav/p278_138.wav,clean_trainset_28spk_wav/p278_138.wav,It will affect their work.
noisy_trainset_28spk_wav/p287_068.wav,clean_trainset_28spk_wav/p287_068.wav,Now the plot is perfect.
noisy_trainset_28spk_wav/p256_277.wav,clean_trainset_28spk_wav/p256_277.wav,They were on holiday in Egypt.
noisy_trainset_28spk_wav/p282_202.wav,clean_trainset_28spk_wav/p282_202.wav,"Sadly, it can't."
noisy_trainset_28spk_wav/p269_396.wav,clean_trainset_28spk_wav/p269_396.wav,"We have to pull together, or we will hang apart."
noisy_trainset_28spk_wav/p256_212.wav,clean_trainset_28spk_wav/p256_212.wav,It had all been arranged.
noisy_trainset_28spk_wav/p254_293.wav,clean_trainset_28spk_wav/p254_293.wav,"Well, he can do it."
noisy_trainset_28spk_wav/p274_444.wav,clean_trainset_28spk_wav/p274_444.wav,They are interior designers and architects.)
noisy_trainset_28spk_wav/p230_321.wav,clean_trainset_28spk_wav/p230_321.wav,It is a road of death.
noisy_trainset_28spk_wav/p268_085.wav,clean_trainset_28spk_wav/p268_085.wav,Scottish football is finally on its way back.
noisy_trainset_28spk_wav/p239_111.wav,clean_trainset_28spk_wav/p239_111.wav,"Instead, another depression came in."
noisy_trainset_28spk_wav/p239_319.wav,clean_trainset_28spk_wav/p239_319.wav,The Shadow Chancellor is away on holiday.
noisy_trainset_28spk_wav/p239_135.wav,clean_trainset_28spk_wav/p239_135.wav,Last weekend was extremely frustrating.
noisy_trainset_28spk_wav/p279_284.wav,clean_trainset_28spk_wav/p279_284.wav,The attacker died in the crash.
noisy_trainset_28spk_wav/p274_382.wav,clean_trainset_28spk_wav/p274_382.wav,Both of those promises have already been honoured.)
noisy_trainset_28spk_wav/p273_095.wav,clean_trainset_28spk_wav/p273_095.wav,We intend to change the model.
noisy_trainset_28spk_wav/p231_168.wav,clean_trainset_28spk_wav/p231_168.wav,"Well, this article is a bit like that."
noisy_trainset_28spk_wav/p227_303.wav,clean_trainset_28spk_wav/p227_303.wav,"We have to be very, very careful."
noisy_trainset_28spk_wav/p259_435.wav,clean_trainset_28spk_wav/p259_435.wav,I watch the other visitors.)
noisy_trainset_28spk_wav/p231_053.wav,clean_trainset_28spk_wav/p231_053.wav,The cuts were made within an hour of each other.
noisy_trainset_28spk_wav/p273_219.wav,clean_trainset_28spk_wav/p273_219.wav,"If it doesn't, it doesn't."
noisy_trainset_28spk_wav/p256_311.wav,clean_trainset_28spk_wav/p256_311.wav,This is the culture change in medicine.
noisy_trainset_28spk_wav/p287_132.wav,clean_trainset_28spk_wav/p287_132.wav,That is the real test.
noisy_trainset_28spk_wav/p287_418.wav,clean_trainset_28spk_wav/p287_418.wav,Potions said he would drive.
noisy_trainset_28spk_wav/p278_131.wav,clean_trainset_28spk_wav/p278_131.wav,The abuse of elderly people was appalling.
noisy_trainset_28spk_wav/p277_220.wav,clean_trainset_28spk_wav/p277_220.wav,They must do it.
noisy_trainset_28spk_wav/p268_144.wav,clean_trainset_28spk_wav/p268_144.wav,He was forced to quit.
noisy_trainset_28spk_wav/p226_062.wav,clean_trainset_28spk_wav/p226_062.wav,This is a scheme that has a lot of potential.
noisy_trainset_28spk_wav/p258_170.wav,clean_trainset_28spk_wav/p258_170.wav,"IT S the real thing, for sure."
noisy_trainset_28spk_wav/p268_134.wav,clean_trainset_28spk_wav/p268_134.wav,Brown also believes in Walker's innocence.
noisy_trainset_28spk_wav/p254_090.wav,clean_trainset_28spk_wav/p254_090.wav,Mr Irvine said Mr Rafferty was now in good spirits.
noisy_trainset_28spk_wav/p270_303.wav,clean_trainset_28spk_wav/p270_303.wav,The effect was almost magical.
noisy_trainset_28spk_wav/p279_398.wav,clean_trainset_28spk_wav/p279_398.wav,You make the choice.
noisy_trainset_28spk_wav/p269_151.wav,clean_trainset_28spk_wav/p269_151.wav,We have seen a copy of the report.
noisy_trainset_28spk_wav/p236_267.wav,clean_trainset_28spk_wav/p236_267.wav,The calls were last night rejected by the US and the UK.
